phrase,lang,source,observed_hallucination_count,note
wel,nl,lexicon_top,87,
Kompromis 4,nl,lexicon_top,86,
Kompromis 4a,nl,lexicon_top,63,
tv gelderland 2021,nl,lexicon_top,2,
谢谢观看 下集再见,nn,lexicon_top,3,
thank you for watching,nn,lexicon_top,2,
ご視聴ありがとうございました,nn,lexicon_top,2,
la ciudad de san juan de la paz,oc,lexicon_top,2,
Dziękuję,pl,lexicon_top,778,
Dzień dobry,pl,lexicon_top,299,
Kto jest za,pl,lexicon_top,131,
Dziękuję bardzo,pl,lexicon_top,121,
Kto się wstrzymał,pl,lexicon_top,114,
Sześć,pl,lexicon_top,91,
Kompromis 13,pl,lexicon_top,88,
Kto przeciw,pl,lexicon_top,88,
Kto jest przeciw,pl,lexicon_top,71,
Dziękuję za uwagę,pl,lexicon_top,55,
dziękuje za oglądanie,pl,lexicon_top,2,
Sra,pt,lexicon_top,8711,
Presidente,pt,lexicon_top,1486,
Obrigada,pt,lexicon_top,1148,
"Presidente, Sr",pt,lexicon_top,761,
obrigado,pt,lexicon_top,620,
"Obrigada, Sra",pt,lexicon_top,520,
"Obrigado, Sr",pt,lexicon_top,370,
"Obrigada, Sr",pt,lexicon_top,349,
Muito obrigada,pt,lexicon_top,168,
Enf,pt,lexicon_top,135,
Srs,pt,lexicon_top,123,
Muito obrigado,pt,lexicon_top,109,
Com licença,pt,lexicon_top,105,
"800, 1",pt,lexicon_top,85,
"Renda, Sr",pt,lexicon_top,75,
să vă mulțumim pentru vizionare,ro,lexicon_top,64105,
MULȚUMIT PENTRU VIZIONARE,ro,lexicon_top,47032,
la revedere,ro,lexicon_top,44576,
să ne vedem la următoarea mea rețetă,ro,lexicon_top,32819,
Mulțumesc,ro,lexicon_top,26905,
Nu uitați să distribuiți acest material video pe alte rețele sociale,ro,lexicon_top,12082,
Mersi,ro,lexicon_top,8073,
"Nu uitați să dați like, să lăsați un comentariu și să distribuiți acest material video pe alte rețele sociale",ro,lexicon_top,5936,
Mulțumesc frumos,ro,lexicon_top,3477,
pentru vizionare,ro,lexicon_top,2460,
vizionare,ro,lexicon_top,2350,
mulțumim pentru vizionare,ro,lexicon_top,1216,
Să lăsați un comentariu și să distribuiți acest material video pe alte rețele sociale,ro,lexicon_top,1071,
Să vă mulțumesc frumos,ro,lexicon_top,1048,
rețetă,ro,lexicon_top,1018,
подписывайтесь на мой канал,ru,lexicon_top,3,
спасибо за просмотр,ru,lexicon_top,3,
подписывайтесь на наш канал,ru,lexicon_top,2,
න ස ට ය,sa,lexicon_top,2,
please subscribe to my channel,sd,lexicon_top,2,
ස ත ත ය,si,lexicon_top,5,
ක ර මට ක ර මට ක ර මට,si,lexicon_top,2,
ක ර මට ස ත ත ය,si,lexicon_top,2,
ප රහන ප රහන ප රහන,si,lexicon_top,2,
ප රහන ස ත ත ය,si,lexicon_top,2,
මට ක ර මට ක ර මට ක ර,si,lexicon_top,2,
ďakujem za pozornosť,sk,lexicon_top,1645499,
Ďakujem,sk,lexicon_top,125315,
Ďakuj,sk,lexicon_top,40009,
za pozornosť,sk,lexicon_top,9407,
pozornosť,sk,lexicon_top,9383,
Konec,sk,lexicon_top,2653,
Zdravíte,sk,lexicon_top,567,
Pre,sk,lexicon_top,443,
Hvala,sk,lexicon_top,440,
OSN,sk,lexicon_top,296,
Kov,sk,lexicon_top,295,
Hru,sk,lexicon_top,287,
Ale,sk,lexicon_top,286,
Čau,sk,lexicon_top,268,
Cent,sk,lexicon_top,222,
Hvala što pratite kanal,sl,lexicon_top,988348,
hvala,sl,lexicon_top,461494,
Hvala za pozornost,sl,lexicon_top,351855,
Hvala na sviđanju,sl,lexicon_top,307238,
Hvala na sviđanje,sl,lexicon_top,272988,
Hvala što pratite,sl,lexicon_top,37478,
Ďakujem za pozornosť,sl,lexicon_top,30823,
Hvala še,sl,lexicon_top,29093,
Hvala vam,sl,lexicon_top,22922,
Hvala lepa,sl,lexicon_top,18054,
Hvala š,sl,lexicon_top,10578,
Hvala na,sl,lexicon_top,6979,
Hvala za pozornosť,sl,lexicon_top,6152,
Hvala vse,sl,lexicon_top,5016,
Hvala se,sl,lexicon_top,3981,
share this video with your friends on social media,sn,lexicon_top,2,
subscribe to my channel thank you,sn,lexicon_top,2,
thank you for watching please subscribe,sn,lexicon_top,2,
งงงง,sn,lexicon_top,2,
ご視聴ありがとうございました,sn,lexicon_top,2,
субтитри одбрани на канал,sr,lexicon_top,2,
субтитри са симонима,sr,lexicon_top,2,
sampai jumpa di video selanjutnya,su,lexicon_top,2,
sub indo by broth3rmax,su,lexicon_top,2,
terima kasih atas dukungan anda,su,lexicon_top,2,
terima kasih telah menonton,su,lexicon_top,2,
Tack till elever och personer som hjälpte med videon,sv,lexicon_top,103409,
Textning,sv,lexicon_top,56034,
Tack till elever och personal vid Säkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssä,sv,lexicon_top,41530,
Tack så mycket,sv,lexicon_top,23877,
Tack,sv,lexicon_top,11914,
Nej,sv,lexicon_top,2753,
Okej,sv,lexicon_top,1938,
Nej röster,sv,lexicon_top,1200,
tack till elever och personal vid säkerhetssäkerheten,sv,lexicon_top,1184,
Inte,sv,lexicon_top,963,
Tack till elever och personal vid Säkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhet,sv,lexicon_top,960,
btistudios,sv,lexicon_top,914,
Hej,sv,lexicon_top,894,
Tack till elever och personal vid Säkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetsäkerhetsäkerhetsäkerhetsäkerhetsä,sv,lexicon_top,689,
Att,sv,lexicon_top,660,
kwa hivyo kwa hivyo,sw,lexicon_top,3,
க க ண ட வர க ற ய,ta,lexicon_top,2,
க ள ள ங கள,ta,lexicon_top,2,
கள ய ம பற ற ய வ ஷயங,ta,lexicon_top,2,
ங கள,ta,lexicon_top,2,
வர க ற ர கள,ta,lexicon_top,2,
நன்றி,ta,curated,0,ta thank-you; ta arm gates on CER not WER
மிக்க நன்றி,ta,curated,0,intensified form
барабанна кандидатка,tg,lexicon_top,2,
барабанна кистка,tg,lexicon_top,2,
барабанна кишка,tg,lexicon_top,2,
қол ҳырдан дұрб қол ҳырдан дұрб,tg,lexicon_top,2,
โปรดต ดตามตอนต อไป,th,lexicon_top,2,
арай,tk,lexicon_top,2,
қарай қарай,tk,lexicon_top,2,
қарай қарай қарай қарай,tk,lexicon_top,2,
қарай қарай қарай қарай қарай қ,tk,lexicon_top,2,
subscribe,tl,lexicon_top,2,
abone ol,tr,lexicon_top,2,
seven by seven,tt,lexicon_top,2,
дякую за перегляд,uk,lexicon_top,2,
ملتا ہے,ur,lexicon_top,2,
کریں,ur,lexicon_top,2,
ہیں,ur,lexicon_top,2,
یکھنا چاہتے ہیں,ur,lexicon_top,2,
hãy đăng kí kênh để ủng hộ mình nhé,vi,lexicon_top,2,
hẹn đại gia đình video tiếp theo nhé,vi,lexicon_top,2,
mới nhé,vi,lexicon_top,2,
những video hấp dẫn,vi,lexicon_top,2,
theo,vi,lexicon_top,2,
אהלן,yi,lexicon_top,2,
sosirwe com au,yo,lexicon_top,2,
sosoko,yo,lexicon_top,2,
sosoko com au,yo,lexicon_top,2,
sosokyo,yo,lexicon_top,2,
thank you for watching please subscribe,yo,lexicon_top,2,
thank you for watching please subscribe to my channel,yo,lexicon_top,2,
thank you for watching please subscribe to support us,yo,lexicon_top,2,
thank you for watching please subscribe,yue,lexicon_top,2,
謝謝觀看 下次見,zh,lexicon_top,2,
谢谢观看,zh,curated,1,YouTube artefact
谢谢,zh,curated,0,canonical zh hallucination and a real closer
感谢您联系,zh,curated,0,call-centre closer
请稍等,zh,curated,0,hold phrase
