phrase_norm,phrase,lang,count,source,provenance,count_basis
tôi sẽ đi tiếp và lấy,Tôi sẽ đi tiếp và lấy,vi,29,translated:en,translated,inherited
tanya cushman nhà phê bình,Tanya Cushman nhà phê bình,vi,29,translated:en,translated,inherited
mo ti n lọ siwaju ati ki o gba awọn,Mo ti n lọ siwaju ati ki o gba awọn,yo,29,translated:en,translated,inherited
tanya cushman olùgbéyẹ̀wò s,tanya cushman olùgbéyẹ̀wò s,yo,29,translated:en,translated,inherited
我会去找他们.,我会去找他们.,zh,29,translated:en,translated,inherited
rr 撕裂,rr 撕裂,zh,29,translated:en,translated,inherited
塔尼亚·库什曼评审员,塔尼亚·库什曼评审员,zh,29,translated:en,translated,inherited
help,help,en,28,agh_full,observed,observed
thanks,thanks,en,28,agh_full|hf_noise,observed,observed
whistle,whistle,en,28,agh_full,observed,observed
продолжение следует...,Продолжение следует...,ru,28,mined:turbo|v3,mined,observed
good job,good job,en,27,agh_boh|agh_full|hf_noise,observed,observed
i m going to go get my dog,i m going to go get my dog,en,27,agh_boh|agh_full|hf_noise,observed,observed
i m going to use a,i m going to use a,en,27,agh_boh|agh_full|hf_noise,observed,observed
welcome to the new york city of new york,welcome to the new york city of new york,en,27,agh_boh|agh_full|hf_noise,observed,observed
west yard,west yard,en,27,agh_boh|agh_full|hf_noise,observed,observed
what are you doing,what are you doing,en,27,agh_boh|agh_full|hf_noise,observed,observed
goeie werk,Goeie werk,af,27,translated:en,translated,inherited
ek gaan my hond kry,Ek gaan my hond kry,af,27,translated:en,translated,inherited
ek gaan 'n,Ek gaan 'n,af,27,translated:en,translated,inherited
"welkom in die stad new york, new york.","Welkom in die stad New York, New York.",af,27,translated:en,translated,inherited
westelike tuin,westelike tuin,af,27,translated:en,translated,inherited
wat doen jy?,Wat doen jy?,af,27,translated:en,translated,inherited
መልካም ስራ,መልካም ስራ,am,27,translated:en,translated,inherited
ውሻዬን እወስዳለሁ,ውሻዬን እወስዳለሁ,am,27,translated:en,translated,inherited
እኔ አንድ መጠቀም እሄዳለሁ,እኔ አንድ መጠቀም እሄዳለሁ,am,27,translated:en,translated,inherited
ወደ ኒው ዮርክ ከተማ እንኳን ደህና መጡ,ወደ ኒው ዮርክ ከተማ እንኳን ደህና መጡ,am,27,translated:en,translated,inherited
የምዕራብ ግቢ,የምዕራብ ግቢ,am,27,translated:en,translated,inherited
ምን እያደረክ ነው?,ምን እያደረክ ነው?,am,27,translated:en,translated,inherited
عمل جيد,عمل جيد,ar,27,translated:en,translated,inherited
سأذهب للحصول على كلبي,سأذهب للحصول على كلبي,ar,27,translated:en,translated,inherited
أنا ذاهب لاستخدام a,أنا ذاهب لاستخدام a,ar,27,translated:en,translated,inherited
مرحباً بك في مدينة نيويورك,مرحباً بك في مدينة نيويورك,ar,27,translated:en,translated,inherited
الحديقة الغربية,الحديقة الغربية,ar,27,translated:en,translated,inherited
ما الذي تفعله ؟,ما الذي تفعله ؟,ar,27,translated:en,translated,inherited
yaxşı iş.,Yaxşı iş.,az,27,translated:en,translated,inherited
mən itimi götürməyə gedirəm.,Mən itimi götürməyə gedirəm.,az,27,translated:en,translated,inherited
mən bir istifadə edəcəyəm,Mən bir istifadə edəcəyəm,az,27,translated:en,translated,inherited
nyu-york şəhərinə xoş gəlmisiniz.,Nyu-York şəhərinə xoş gəlmisiniz.,az,27,translated:en,translated,inherited
qərbi yard,Qərbi yard,az,27,translated:en,translated,inherited
sən nə işin var?,Sən nə işin var?,az,27,translated:en,translated,inherited
добрая праца,Добрая праца,be,27,translated:en,translated,inherited
я збіраюся пайсці за маім сабакам,Я збіраюся пайсці за маім сабакам,be,27,translated:en,translated,inherited
я збіраюся выкарыстоўваць,Я збіраюся выкарыстоўваць,be,27,translated:en,translated,inherited
"сардэчна запрашаем у нью-ёрк , нью-ёрк .","Сардэчна запрашаем у Нью-Ёрк , Нью-Ёрк .",be,27,translated:en,translated,inherited
заходні двор,Заходні двор,be,27,translated:en,translated,inherited
што вы робіце,што вы робіце,be,27,translated:en,translated,inherited
добра работа.,Добра работа.,bg,27,translated:en,translated,inherited
отивам да взема кучето си.,Отивам да взема кучето си.,bg,27,translated:en,translated,inherited
ще използвам...,Ще използвам...,bg,27,translated:en,translated,inherited
добре дошли в ню йорк.,Добре дошли в Ню Йорк.,bg,27,translated:en,translated,inherited
западен двор,Западен двор,bg,27,translated:en,translated,inherited
какво правиш?,Какво правиш?,bg,27,translated:en,translated,inherited
ভালো কাজ,ভালো কাজ,bn,27,translated:en,translated,inherited
আমি আমার কুকুর নিয়ে যাবো,আমি আমার কুকুর নিয়ে যাবো,bn,27,translated:en,translated,inherited
আমি একটি ব্যবহার করতে যাচ্ছি,আমি একটি ব্যবহার করতে যাচ্ছি,bn,27,translated:en,translated,inherited
নিউ ইয়র্ক শহরে স্বাগতম,নিউ ইয়র্ক শহরে স্বাগতম,bn,27,translated:en,translated,inherited
পশ্চিম ইয়ার্ড,পশ্চিম ইয়ার্ড,bn,27,translated:en,translated,inherited
তুমি কি করছ?,তুমি কি করছ?,bn,27,translated:en,translated,inherited
bona feina,Bona feina,ca,27,translated:en,translated,inherited
vaig a buscar el meu gos.,Vaig a buscar el meu gos.,ca,27,translated:en,translated,inherited
usaré un,Usaré un,ca,27,translated:en,translated,inherited
benvinguts a la ciutat de nova york .,Benvinguts a la ciutat de Nova York .,ca,27,translated:en,translated,inherited
què estàs fent?,Què estàs fent?,ca,27,translated:en,translated,inherited
dobrá práce.,Dobrá práce.,cs,27,translated:en,translated,inherited
jdu pro svého psa.,Jdu pro svého psa.,cs,27,translated:en,translated,inherited
použiji...,Použiji...,cs,27,translated:en,translated,inherited
vítejte v new yorku .,Vítejte v New Yorku .,cs,27,translated:en,translated,inherited
západní dvůr,Západní dvůr,cs,27,translated:en,translated,inherited
co to děláš ?,Co to děláš ?,cs,27,translated:en,translated,inherited
gwaith da,gwaith da,cy,27,translated:en,translated,inherited
dw i'n mynd i ddod o hyd i'm cŵn,Dw i'n mynd i ddod o hyd i'm cŵn,cy,27,translated:en,translated,inherited
rwy'n mynd i ddefnyddio a,Rwy'n mynd i ddefnyddio a,cy,27,translated:en,translated,inherited
"croeso i ddinas efrog newydd , efrog newydd","Croeso i ddinas Efrog Newydd , Efrog Newydd",cy,27,translated:en,translated,inherited
y gorllewin y gorllewin,y gorllewin y gorllewin,cy,27,translated:en,translated,inherited
beth ydych chi'n ei wneud,beth ydych chi'n ei wneud,cy,27,translated:en,translated,inherited
godt arbejde.,Godt arbejde.,da,27,translated:en,translated,inherited
jeg skal hente min hund.,Jeg skal hente min hund.,da,27,translated:en,translated,inherited
jeg vil bruge en,Jeg vil bruge en,da,27,translated:en,translated,inherited
"velkommen til new york city, new york.","Velkommen til New York City, New York.",da,27,translated:en,translated,inherited
vestgård,Vestgård,da,27,translated:en,translated,inherited
hvad laver du?,Hvad laver du?,da,27,translated:en,translated,inherited
gute arbeit,Gute Arbeit,de,27,translated:en,translated,inherited
ich hole meinen hund .,Ich hole meinen Hund .,de,27,translated:en,translated,inherited
ich werde eine,Ich werde eine,de,27,translated:en,translated,inherited
willkommen in der stadt new york .,Willkommen in der Stadt New York .,de,27,translated:en,translated,inherited
was machst du?,Was machst du?,de,27,translated:en,translated,inherited
καλή δουλειά.,Καλή δουλειά.,el,27,translated:en,translated,inherited
πάω να πάρω το σκυλί μου.,Πάω να πάρω το σκυλί μου.,el,27,translated:en,translated,inherited
θα χρησιμοποιήσω ένα,Θα χρησιμοποιήσω ένα,el,27,translated:en,translated,inherited
καλώς ήρθατε στη νέα υόρκη .,Καλώς ήρθατε στη Νέα Υόρκη .,el,27,translated:en,translated,inherited
δυτική αυλή,δυτική αυλή,el,27,translated:en,translated,inherited
τι κάνεις;,Τι κάνεις;,el,27,translated:en,translated,inherited
buen trabajo,buen trabajo,es,27,translated:en,translated,inherited
voy a buscar a mi perro .,Voy a buscar a mi perro .,es,27,translated:en,translated,inherited
voy a usar un,Voy a usar un,es,27,translated:en,translated,inherited
bienvenido a la ciudad de nueva york .,Bienvenido a la ciudad de Nueva York .,es,27,translated:en,translated,inherited
jardín oeste,jardín oeste,es,27,translated:en,translated,inherited
¿qué estás haciendo?,¿Qué estás haciendo?,es,27,translated:en,translated,inherited
hea töö,Hea töö,et,27,translated:en,translated,inherited
ma lähen oma koera järele.,Ma lähen oma koera järele.,et,27,translated:en,translated,inherited
ma kasutan a,Ma kasutan a,et,27,translated:en,translated,inherited
"tere tulemast new yorgis, new yorgis.","Tere tulemast New Yorgis, New Yorgis.",et,27,translated:en,translated,inherited
lääne aias,Lääne aias,et,27,translated:en,translated,inherited
mida sa teed?,Mida sa teed?,et,27,translated:en,translated,inherited
lan ona egin duzu.,Lan ona egin duzu.,eu,27,translated:en,translated,inherited
txakurra ekarriko dut.,Txakurra ekarriko dut.,eu,27,translated:en,translated,inherited
a erabiliko dut.,A erabiliko dut.,eu,27,translated:en,translated,inherited
ongi etorri new yorkera.,Ongi etorri New Yorkera.,eu,27,translated:en,translated,inherited
mendebaldeko patioa,mendebaldeko patioa,eu,27,translated:en,translated,inherited
zer egiten ari zara?,Zer egiten ari zara?,eu,27,translated:en,translated,inherited
کار خوب,کار خوب,fa,27,translated:en,translated,inherited
ميخوام برم سگم رو بگيرم,ميخوام برم سگم رو بگيرم,fa,27,translated:en,translated,inherited
من میخوام از یک استفاده کنم,من میخوام از یک استفاده کنم,fa,27,translated:en,translated,inherited
به شهر نیویورک خوش آمدید,به شهر نیویورک خوش آمدید,fa,27,translated:en,translated,inherited
حیاط غربی,حیاط غربی,fa,27,translated:en,translated,inherited
چیکار میکنی؟,چیکار میکنی؟,fa,27,translated:en,translated,inherited
hyvää työtä.,Hyvää työtä.,fi,27,translated:en,translated,inherited
menen hakemaan koirani .,Menen hakemaan koirani .,fi,27,translated:en,translated,inherited
käytän,Käytän,fi,27,translated:en,translated,inherited
tervetuloa new yorkin kaupunkiin .,Tervetuloa New Yorkin kaupunkiin .,fi,27,translated:en,translated,inherited
länsi-alue,Länsi-alue,fi,27,translated:en,translated,inherited
mitä sinä teet?,Mitä sinä teet?,fi,27,translated:en,translated,inherited
bon travail,bon travail,fr,27,translated:en,translated,inherited
je vais chercher mon chien.,Je vais chercher mon chien.,fr,27,translated:en,translated,inherited
je vais utiliser un,Je vais utiliser un,fr,27,translated:en,translated,inherited
bienvenue dans la ville de new york .,Bienvenue dans la ville de New York .,fr,27,translated:en,translated,inherited
la cour ouest,la cour ouest,fr,27,translated:en,translated,inherited
tu fais quoi ?,Tu fais quoi ?,fr,27,translated:en,translated,inherited
un bo traballo,un bo traballo,gl,27,translated:en,translated,inherited
vou buscar o meu can.,Vou buscar o meu can.,gl,27,translated:en,translated,inherited
eu vou usar un,Eu vou usar un,gl,27,translated:en,translated,inherited
"benvido á cidade de nova york , nova york .","Benvido á cidade de Nova York , Nova York .",gl,27,translated:en,translated,inherited
que estás a facer?,Que estás a facer?,gl,27,translated:en,translated,inherited
સારું કામ,સારું કામ,gu,27,translated:en,translated,inherited
હું મારા કૂતરા માટે જઈશ,હું મારા કૂતરા માટે જઈશ,gu,27,translated:en,translated,inherited
હું એક વાપરવા જઈ રહ્યો છું,હું એક વાપરવા જઈ રહ્યો છું,gu,27,translated:en,translated,inherited
ન્યૂ યોર્ક શહેરમાં આપનું સ્વાગત છે,ન્યૂ યોર્ક શહેરમાં આપનું સ્વાગત છે,gu,27,translated:en,translated,inherited
પશ્ચિમ યાર્ડ,પશ્ચિમ યાર્ડ,gu,27,translated:en,translated,inherited
તમે શું કરી રહ્યા છો,તમે શું કરી રહ્યા છો,gu,27,translated:en,translated,inherited
kyakkyawan aiki,Kyakkyawan aiki,ha,27,translated:en,translated,inherited
zan je in kawo mini kare,Zan je in kawo mini kare,ha,27,translated:en,translated,inherited
zan yi amfani da wani,Zan yi amfani da wani,ha,27,translated:en,translated,inherited
barka da zuwa birnin new york na new york,Barka da zuwa birnin New York na New York,ha,27,translated:en,translated,inherited
yankin yankin yammacin yammacin yammacin yammacin yammacin yammacin yammacin yammacin yammacin yammacin yammacin yammacin yammacin yammacin yammacin yammacin yammacin yammacin yammacin yammacin yammacin yammacin yammacin yammacin yammacin yammacin yammacin yammacin yammacin yammacin y,Yankin Yankin Yammacin Yammacin Yammacin Yammacin Yammacin Yammacin Yammacin Yammacin Yammacin Yammacin Yammacin Yammacin Yammacin Yammacin Yammacin Yammacin Yammacin Yammacin Yammacin Yammacin Yammacin Yammacin Yammacin Yammacin Yammacin Yammacin Yammacin Yammacin Yammacin Yammacin Y,ha,27,translated:en,translated,inherited
me kake yi?,Me kake yi?,ha,27,translated:en,translated,inherited
עבודה טובה.,עבודה טובה.,he,27,translated:en,translated,inherited
אני הולך להביא את הכלב שלי.,אני הולך להביא את הכלב שלי.,he,27,translated:en,translated,inherited
אני הולך להשתמש ב,אני הולך להשתמש ב,he,27,translated:en,translated,inherited
"ברוכים הבאים לעיר ניו יורק, ניו יורק.","ברוכים הבאים לעיר ניו יורק, ניו יורק.",he,27,translated:en,translated,inherited
חצר מערבית,חצר מערבית,he,27,translated:en,translated,inherited
מה אתה עושה?,מה אתה עושה?,he,27,translated:en,translated,inherited
अच्छा काम,अच्छा काम,hi,27,translated:en,translated,inherited
मैं अपने कुत्ते के लिए जा रहा हूँ,मैं अपने कुत्ते के लिए जा रहा हूँ,hi,27,translated:en,translated,inherited
मैं एक का उपयोग करने जा रहा हूँ,मैं एक का उपयोग करने जा रहा हूँ,hi,27,translated:en,translated,inherited
न्यूयॉर्क शहर में आपका स्वागत है,न्यूयॉर्क शहर में आपका स्वागत है,hi,27,translated:en,translated,inherited
पश्चिम यार्ड,पश्चिम यार्ड,hi,27,translated:en,translated,inherited
आप क्या कर रहे हैं,आप क्या कर रहे हैं,hi,27,translated:en,translated,inherited
dobar posao,Dobar posao,hr,27,translated:en,translated,inherited
idem po svog psa.,Idem po svog psa.,hr,27,translated:en,translated,inherited
ja ću koristiti,Ja ću koristiti,hr,27,translated:en,translated,inherited
"dobrodošli u new york city, new york.","Dobrodošli u New York City, New York.",hr,27,translated:en,translated,inherited
zapadni dvorište,Zapadni dvorište,hr,27,translated:en,translated,inherited
što to radiš?,Što to radiš?,hr,27,translated:en,translated,inherited
jó munka.,Jó munka.,hu,27,translated:en,translated,inherited
elmegyek a kutyámért.,Elmegyek a kutyámért.,hu,27,translated:en,translated,inherited
én használok egy,Én használok egy,hu,27,translated:en,translated,inherited
"üdvözöljük new york városában, new yorkban.","Üdvözöljük New York városában, New Yorkban.",hu,27,translated:en,translated,inherited
nyugati kert,nyugati kert,hu,27,translated:en,translated,inherited
mit csinálsz?,Mit csinálsz?,hu,27,translated:en,translated,inherited
լավ աշխատանք,լավ աշխատանք,hy,27,translated:en,translated,inherited
ես գնում եմ վերցնել իմ շունը,Ես գնում եմ վերցնել իմ շունը,hy,27,translated:en,translated,inherited
ես պատրաստվում եմ օգտագործել a,Ես պատրաստվում եմ օգտագործել a,hy,27,translated:en,translated,inherited
բարի գալուստ նյու յորքի նյու յորքի քաղաքում,Բարի գալուստ Նյու Յորքի Նյու Յորքի քաղաքում,hy,27,translated:en,translated,inherited
արեւմտյան այգին,արեւմտյան այգին,hy,27,translated:en,translated,inherited
ինչ եք անում,ինչ եք անում,hy,27,translated:en,translated,inherited
pekerjaan yang baik,pekerjaan yang baik,id,27,translated:en,translated,inherited
aku akan pergi untuk mendapatkan anjing saya,Aku akan pergi untuk mendapatkan anjing saya,id,27,translated:en,translated,inherited
aku akan menggunakan a,Aku akan menggunakan a,id,27,translated:en,translated,inherited
"selamat datang di new york city, new york.","Selamat datang di New York City, New York.",id,27,translated:en,translated,inherited
barat halaman,barat halaman,id,27,translated:en,translated,inherited
apa yang kau lakukan ?,Apa yang kau lakukan ?,id,27,translated:en,translated,inherited
gott starf.,gott starf.,is,27,translated:en,translated,inherited
ég ætla að fara og fá hundinn minn.,Ég ætla að fara og fá hundinn minn.,is,27,translated:en,translated,inherited
ég ætla að nota a,Ég ætla að nota a,is,27,translated:en,translated,inherited
"velkomin í new york city, new york.","Velkomin í New York City, New York.",is,27,translated:en,translated,inherited
vesturgarður,Vesturgarður,is,27,translated:en,translated,inherited
hvað ertu að gera?,Hvað ertu að gera?,is,27,translated:en,translated,inherited
ottimo lavoro,Ottimo lavoro,it,27,translated:en,translated,inherited
vado a prendere il mio cane .,Vado a prendere il mio cane .,it,27,translated:en,translated,inherited
ho intenzione di usare un,Ho intenzione di usare un,it,27,translated:en,translated,inherited
"benvenuti nella città di new york , new york .","Benvenuti nella città di New York , New York .",it,27,translated:en,translated,inherited
giardino ovest,giardino ovest,it,27,translated:en,translated,inherited
cosa stai facendo?,Cosa stai facendo?,it,27,translated:en,translated,inherited
良い仕事,良い仕事,ja,27,translated:en,translated,inherited
私は犬を連れて行く,私は犬を連れて行く,ja,27,translated:en,translated,inherited
"私は,aを使用するつもりです","私は,Aを使用するつもりです",ja,27,translated:en,translated,inherited
ニューヨーク市へようこそ,ニューヨーク市へようこそ,ja,27,translated:en,translated,inherited
ウェストヤード,ウェストヤード,ja,27,translated:en,translated,inherited
何してるの?,何してるの?,ja,27,translated:en,translated,inherited
karya apik,karya apik,jw,27,translated:en,translated,inherited
aku arep njaluk asu sandi,Aku arep njaluk asu sandi,jw,27,translated:en,translated,inherited
aku arep nggunakake a,Aku arep nggunakake a,jw,27,translated:en,translated,inherited
"sugeng rawuh ing kutha new york, new york.","Sugeng rawuh ing kutha New York, New York.",jw,27,translated:en,translated,inherited
apa sing sampeyan lakoni,Apa sing sampeyan lakoni,jw,27,translated:en,translated,inherited
კარგი სამსახური,კარგი სამსახური,ka,27,translated:en,translated,inherited
მე წავალ ჩემი ძაღლის მოსაპოვებლად.,მე წავალ ჩემი ძაღლის მოსაპოვებლად.,ka,27,translated:en,translated,inherited
მე ვაპირებ გამოვიყენო a,მე ვაპირებ გამოვიყენო a,ka,27,translated:en,translated,inherited
კეთილი იყოს თქვენი მობრძანება ნიუ-იორკის ქალაქში.,კეთილი იყოს თქვენი მობრძანება ნიუ-იორკის ქალაქში.,ka,27,translated:en,translated,inherited
დასავლეთი ეზო,დასავლეთი ეზო,ka,27,translated:en,translated,inherited
რას აკეთებ?,რას აკეთებ?,ka,27,translated:en,translated,inherited
жақсы жұмыс,жақсы жұмыс,kk,27,translated:en,translated,inherited
мен иемді алуға барамын,Мен иемді алуға барамын,kk,27,translated:en,translated,inherited
мен a-ны қолданамын,Мен a-ны қолданамын,kk,27,translated:en,translated,inherited
нью-йорк қаласына қош келдіңіздер,Нью-Йорк қаласына қош келдіңіздер,kk,27,translated:en,translated,inherited
батыс ауласы,батыс ауласы,kk,27,translated:en,translated,inherited
не істеп жатырсыз?,не істеп жатырсыз?,kk,27,translated:en,translated,inherited
ការងារ ល្អ,ការងារ ល្អ,km,27,translated:en,translated,inherited
ខ្ញុំ នឹង ទៅ យក ឆ្កែ របស់ ខ្ញុំ,ខ្ញុំ នឹង ទៅ យក ឆ្កែ របស់ ខ្ញុំ,km,27,translated:en,translated,inherited
ខ្ញុំនឹងប្រើ a,ខ្ញុំនឹងប្រើ a,km,27,translated:en,translated,inherited
ស្វាគមន៍ មក កាន់ ទីក្រុង ញូវយ៉ក ញូវយ៉ក,ស្វាគមន៍ មក កាន់ ទីក្រុង ញូវយ៉ក ញូវយ៉ក,km,27,translated:en,translated,inherited
តើ អ្នក កំពុង ធ្វើ អ្វី?,តើ អ្នក កំពុង ធ្វើ អ្វី?,km,27,translated:en,translated,inherited
ಒಳ್ಳೆಯ ಕೆಲಸ,ಒಳ್ಳೆಯ ಕೆಲಸ,kn,27,translated:en,translated,inherited
ನಾನು ನನ್ನ ನಾಯಿಯನ್ನು ಕರೆದುಕೊಂಡು ಹೋಗುತ್ತೇನೆ,ನಾನು ನನ್ನ ನಾಯಿಯನ್ನು ಕರೆದುಕೊಂಡು ಹೋಗುತ್ತೇನೆ,kn,27,translated:en,translated,inherited
ನಾನು ಒಂದು ಬಳಸಲು ಹೋಗುವ,ನಾನು ಒಂದು ಬಳಸಲು ಹೋಗುವ,kn,27,translated:en,translated,inherited
ನ್ಯೂಯಾರ್ಕ್ ನಗರಕ್ಕೆ ಸ್ವಾಗತ,ನ್ಯೂಯಾರ್ಕ್ ನಗರಕ್ಕೆ ಸ್ವಾಗತ,kn,27,translated:en,translated,inherited
ಪಶ್ಚಿಮ ಯಾರ್ಡ್,ಪಶ್ಚಿಮ ಯಾರ್ಡ್,kn,27,translated:en,translated,inherited
ನೀವು ಏನು ಮಾಡುತ್ತಿರುವಿರಿ,ನೀವು ಏನು ಮಾಡುತ್ತಿರುವಿರಿ,kn,27,translated:en,translated,inherited
좋은 일,좋은 일,ko,27,translated:en,translated,inherited
나는 내 개를 데려 갈거야,나는 내 개를 데려 갈거야,ko,27,translated:en,translated,inherited
저는 a를 사용하겠습니다,저는 A를 사용하겠습니다,ko,27,translated:en,translated,inherited
뉴욕 뉴욕에 오신 것을 환영합니다,뉴욕 뉴욕에 오신 것을 환영합니다,ko,27,translated:en,translated,inherited
서쪽 야드,서쪽 야드,ko,27,translated:en,translated,inherited
뭐하는 거야?,뭐하는 거야?,ko,27,translated:en,translated,inherited
ເຮັດວຽກດີ,ເຮັດວຽກດີ,lo,27,translated:en,translated,inherited
ຂ້ອຍຈະໄປຫາ ຫມາ ຂອງຂ້ອຍ,ຂ້ອຍຈະໄປຫາ ຫມາ ຂອງຂ້ອຍ,lo,27,translated:en,translated,inherited
ຂ້ອຍຈະໃຊ້ a,ຂ້ອຍຈະໃຊ້ A,lo,27,translated:en,translated,inherited
ຍິນດີຕ້ອນຮັບໃນນະຄອນນິວຢອກ ນິວຢອກ,ຍິນດີຕ້ອນຮັບໃນນະຄອນນິວຢອກ ນິວຢອກ,lo,27,translated:en,translated,inherited
ຕາເວັນຕົກ yard,ຕາເວັນຕົກ yard,lo,27,translated:en,translated,inherited
ເຈົ້າ ກໍາ ລັງເຮັດຫຍັງ,ເຈົ້າ ກໍາ ລັງເຮັດຫຍັງ,lo,27,translated:en,translated,inherited
geras darbas,Geras darbas,lt,27,translated:en,translated,inherited
aš einu pasiimti savo šunį,Aš einu pasiimti savo šunį,lt,27,translated:en,translated,inherited
aš naudosiu,Aš naudosiu,lt,27,translated:en,translated,inherited
sveiki atvykę į niujorko miestą niujorką.,Sveiki atvykę į Niujorko miestą Niujorką.,lt,27,translated:en,translated,inherited
vakarų aikštelė,vakarų aikštelė,lt,27,translated:en,translated,inherited
ką tu darai?,Ką tu darai?,lt,27,translated:en,translated,inherited
labi darīts,labi darīts,lv,27,translated:en,translated,inherited
es aizbraucu uz savu suni,Es aizbraucu uz savu suni,lv,27,translated:en,translated,inherited
es izmantoju a,Es izmantoju a,lv,27,translated:en,translated,inherited
"sveicināti ņujorkā, ņujorkā.","Sveicināti Ņujorkā, Ņujorkā.",lv,27,translated:en,translated,inherited
uz rietumiem,uz rietumiem,lv,27,translated:en,translated,inherited
ko tu darīsi?,Ko tu darīsi?,lv,27,translated:en,translated,inherited
asa tsara,asa tsara,mg,27,translated:en,translated,inherited
handeha haka ny alikako aho,Handeha haka ny alikako aho,mg,27,translated:en,translated,inherited
hampiasa a aho,Hampiasa a aho,mg,27,translated:en,translated,inherited
"tongasoa eto amin'ny tanànan'i new york, new york.","Tongasoa eto amin'ny tanànan'i New York, New York.",mg,27,translated:en,translated,inherited
faritany andrefana,faritany andrefana,mg,27,translated:en,translated,inherited
inona no ataonao,inona no ataonao,mg,27,translated:en,translated,inherited
добра работа.,Добра работа.,mk,27,translated:en,translated,inherited
ќе одам да си го земам кучето.,Ќе одам да си го земам кучето.,mk,27,translated:en,translated,inherited
јас ќе го искористам,Јас ќе го искористам,mk,27,translated:en,translated,inherited
добредојдовте во њујорк.,Добредојдовте во Њујорк.,mk,27,translated:en,translated,inherited
западен двор,Западен двор,mk,27,translated:en,translated,inherited
што правиш?,Што правиш?,mk,27,translated:en,translated,inherited
നല്ല ജോലി,നല്ല ജോലി,ml,27,translated:en,translated,inherited
ഞാൻ പോയി എന്റെ നായയെ കൊണ്ട് വരാം,ഞാൻ പോയി എന്റെ നായയെ കൊണ്ട് വരാം,ml,27,translated:en,translated,inherited
ഞാൻ ഒരു ഉപയോഗിക്കും,ഞാൻ ഒരു ഉപയോഗിക്കും,ml,27,translated:en,translated,inherited
ന്യൂയോര് ക്കിലെ ന്യൂയോര് ക്കിന് സ്വാഗതം,ന്യൂയോര് ക്കിലെ ന്യൂയോര് ക്കിന് സ്വാഗതം,ml,27,translated:en,translated,inherited
പടിഞ്ഞാറൻ യാർഡ്,പടിഞ്ഞാറൻ യാർഡ്,ml,27,translated:en,translated,inherited
നീ എന്താ ചെയ്യുന്നത്?,നീ എന്താ ചെയ്യുന്നത്?,ml,27,translated:en,translated,inherited
сайн ажил,сайн ажил,mn,27,translated:en,translated,inherited
би нохойгоо авахаар явж байна.,Би нохойгоо авахаар явж байна.,mn,27,translated:en,translated,inherited
би a ашиглах гэж байна,Би a ашиглах гэж байна,mn,27,translated:en,translated,inherited
нью-йорк хотод тавтай морилно уу,Нью-Йорк хотод тавтай морилно уу,mn,27,translated:en,translated,inherited
баруун цэцэрлэг,баруун цэцэрлэг,mn,27,translated:en,translated,inherited
та юу хийж байна вэ?,Та юу хийж байна вэ?,mn,27,translated:en,translated,inherited
चांगले काम,चांगले काम,mr,27,translated:en,translated,inherited
मी माझ्या कुत्र्याला घेऊन जाईन,मी माझ्या कुत्र्याला घेऊन जाईन,mr,27,translated:en,translated,inherited
मी एक वापरणार आहे,मी एक वापरणार आहे,mr,27,translated:en,translated,inherited
न्यू यॉर्क शहरात आपले स्वागत आहे,न्यू यॉर्क शहरात आपले स्वागत आहे,mr,27,translated:en,translated,inherited
पश्चिम यार्ड,पश्चिम यार्ड,mr,27,translated:en,translated,inherited
तुम्ही काय करताय?,तुम्ही काय करताय?,mr,27,translated:en,translated,inherited
kerja yang baik,kerja yang baik,ms,27,translated:en,translated,inherited
saya akan pergi untuk mendapatkan anjing saya,Saya akan pergi untuk mendapatkan anjing saya,ms,27,translated:en,translated,inherited
saya akan menggunakan a,Saya akan menggunakan a,ms,27,translated:en,translated,inherited
"selamat datang di new york city, new york.","Selamat datang di New York City, New York.",ms,27,translated:en,translated,inherited
barat yard,barat yard,ms,27,translated:en,translated,inherited
apa yang kau lakukan?,Apa yang kau lakukan?,ms,27,translated:en,translated,inherited
xogħol tajjeb,xogħol tajjeb,mt,27,translated:en,translated,inherited
jien se mmur biex jiksbu l-kelb tiegħi,Jien se mmur biex jiksbu l-kelb tiegħi,mt,27,translated:en,translated,inherited
i am gonna jużaw a,I am gonna jużaw a,mt,27,translated:en,translated,inherited
"merħba fil-belt ta ' new york, new york.","Merħba fil-belt ta ' New York, New York.",mt,27,translated:en,translated,inherited
ġard tal-punent,Ġard tal-Punent,mt,27,translated:en,translated,inherited
x'qed tagħmel?,x'qed tagħmel?,mt,27,translated:en,translated,inherited
ကောင်းတဲ့ အလုပ်,ကောင်းတဲ့ အလုပ်,my,27,translated:en,translated,inherited
ကျွန်မ ခွေးကို ခေါ်သွားမယ်။,ကျွန်မ ခွေးကို ခေါ်သွားမယ်။,my,27,translated:en,translated,inherited
i'm gonna use a ကိုသုံးပါလိမ့်မယ်,I'm gonna use a ကိုသုံးပါလိမ့်မယ်,my,27,translated:en,translated,inherited
နယူးယောက်မြို့ကို ကြိုဆိုပါတယ်,နယူးယောက်မြို့ကို ကြိုဆိုပါတယ်,my,27,translated:en,translated,inherited
အနောက်ခြံ,အနောက်ခြံ,my,27,translated:en,translated,inherited
မင်းဘာလုပ်နေတာလဲ,မင်းဘာလုပ်နေတာလဲ,my,27,translated:en,translated,inherited
