phrase_norm,phrase,lang,count,source,source_phrase
"ensimmäinen vaihe on hieman vaikeampaa , mutta se ei ole kovin paha .","Ensimmäinen vaihe on hieman vaikeampaa , mutta se ei ole kovin paha .",fi,13,translated:en,the first stage is a bit more difficult but it s not too bad
- mitä sinä teet ?,- Mitä sinä teet ?,fi,13,translated:en,uh oh
je vous remercie.,Je vous remercie.,fr,31353,translated:en,thank you
merci d'avoir regardé.,Merci d'avoir regardé.,fr,25053,translated:en,thanks for watching
merci de m'avoir regardé.,Merci de m'avoir regardé.,fr,6264,translated:en,thank you for watching
je ne sais pas ce que je fais ici.,Je ne sais pas ce que je fais ici.,fr,1317,translated:en,i m not sure what i m doing here
sous-titres de la communauté amara org,sous-titres de la communauté amara org,fr,1122,translated:en,subtitles by the amara org community
je suis désolée.,Je suis désolée.,fr,940,translated:en,i m sorry
mon dieu !,Mon Dieu !,fr,837,translated:en,oh my god
c' est bon.,C' est bon.,fr,402,translated:en,all right
je ne sais pas,Je ne sais pas,fr,311,translated:en,i don t know
"oh, c'est une merde.","Oh, c'est une merde.",fr,237,translated:en,oh shit
je ne sais pas si je peux faire ça.,Je ne sais pas si je peux faire ça.,fr,227,translated:en,i m not sure if i can do this
rue gerrard,rue Gerrard,fr,203,translated:en,gerrard street
je ne sais pas si je devrais le faire mais,Je ne sais pas si je devrais le faire mais,fr,199,translated:en,i m not sure if i should be doing this but
je ne sais pas quoi faire avec ça.,Je ne sais pas quoi faire avec ça.,fr,171,translated:en,i m not sure what to do with this
les cloches,les cloches,fr,155,translated:en,bell rings
je ne vais pas te laisser échapper avec ça.,Je ne vais pas te laisser échapper avec ça.,fr,153,translated:en,i m not going to let you get away with this
je vois.,Je vois.,fr,143,translated:en,oh i see
la transcription émilie beynon,la transcription émilie beynon,fr,133,translated:en,transcript emily beynon
je vous en prie,Je vous en prie,fr,133,translated:en,woo hoo
je suis sorti,Je suis sorti,fr,132,translated:en,i m out
je ne sais pas pourquoi je fais ça.,Je ne sais pas pourquoi je fais ça.,fr,129,translated:en,i m not sure why i m doing this
à l'heure actuelle,à l'heure actuelle,fr,123,translated:en,grr rr
je vais faire un,Je vais faire un,fr,119,translated:en,i m going to make a
je vous en prie .,Je vous en prie .,fr,113,translated:en,come on
je ne sais pas si je peux obtenir le,Je ne sais pas si je peux obtenir le,fr,109,translated:en,i m not sure if i can get the
je vais aller de l'avant et faire ça,Je vais aller de l'avant et faire ça,fr,107,translated:en,i m going to go ahead and do that
je ne sais pas si j' aurais dû utiliser le bouclier.,Je ne sais pas si j' aurais dû utiliser le bouclier.,fr,107,translated:en,i m not sure if i should have used the shield
le train se déplace maintenant vers la gare centrale.,Le train se déplace maintenant vers la gare centrale.,fr,107,translated:en,the train is now moving towards the central station
ça y est !,Ça y est !,fr,103,translated:en,there we go
une avaa,une avaa,fr,89,translated:en,a avaa
je ne sais pas si vous pouvez le voir mais je ne suis pas sûr,Je ne sais pas si vous pouvez le voir mais je ne suis pas sûr,fr,89,translated:en,i m not sure if you can see it but i m not sure
laissez-nous aller,Laissez-nous aller,fr,89,translated:en,let s go
"oh oui , c' est vrai .","Oh oui , c' est vrai .",fr,89,translated:en,oh yeah
je m'en vais,Je m'en vais,fr,88,translated:en,i m
je ne sais pas quoi faire avec ce type.,Je ne sais pas quoi faire avec ce type.,fr,87,translated:en,i m not sure what to do with this guy
je vais aller chercher de la nourriture.,Je vais aller chercher de la nourriture.,fr,81,translated:en,i m going to go get some food
je ne sais pas quoi faire ici.,Je ne sais pas quoi faire ici.,fr,81,translated:en,i m not sure what to do here
je ne sais pas si je peux le faire,Je ne sais pas si je peux le faire,fr,79,translated:en,i m not sure if i can do it
la fin,la fin,fr,78,translated:en,the end
les oiseaux hurlent,les oiseaux hurlent,fr,75,translated:en,birds chirp
sous-titres fermés fournis par le réseau de presse impérial,sous-titres fermés fournis par le réseau de presse impérial,fr,75,translated:en,closed captioning provided by the imperial news network
je vais me coucher.,Je vais me coucher.,fr,75,translated:en,i m going to go to bed
je vais chercher de l'eau.,Je vais chercher de l'eau.,fr,67,translated:en,i m going to go get some water
sous-titres par steamteamextra,sous-titres par steamteamextra,fr,67,translated:en,subtitles by steamteamextra
"oh non, pas du tout.","Oh non, pas du tout.",fr,66,translated:en,oh no
je ne vais pas le faire.,Je ne vais pas le faire.,fr,65,translated:en,i m not going to do it
bonjour et bienvenue dans un autre épisode de la,Bonjour et bienvenue dans un autre épisode de la,fr,63,translated:en,hello and welcome to another episode of the
je ne sais pas,Je ne sais pas,fr,63,translated:en,noo oo
je vais essayer d'obtenir le,Je vais essayer d'obtenir le,fr,61,translated:en,i m going to try to get the
ah vous,Ah vous,fr,59,translated:en,ah you
bonjour à tout le monde,Bonjour à tout le monde,fr,59,translated:en,hello everyone
je ne sais pas ce que ça veut dire.,Je ne sais pas ce que ça veut dire.,fr,59,translated:en,i m not sure what that means
je vous en prie !,Je vous en prie !,fr,55,translated:en,oh fuck
on revient tout de suite.,On revient tout de suite.,fr,55,translated:en,we ll be right back
ça y est !,Ça y est !,fr,53,translated:en,here we go
je ne sais pas si je peux le surmonter.,Je ne sais pas si je peux le surmonter.,fr,53,translated:en,i m not sure if i can get through this
bienvenue dans un autre épisode de la,Bienvenue dans un autre épisode de la,fr,53,translated:en,welcome to another episode of the
je vais le faire à nouveau.,Je vais le faire à nouveau.,fr,51,translated:en,i m going to do it again
donc jusqu'à la prochaine fois au revoir pour l'instant,Donc jusqu'à la prochaine fois au revoir pour l'instant,fr,51,translated:en,so until next time bye for now
je vous en prie,Je vous en prie,fr,51,translated:en,woo oo
je vais à la salle de bain.,Je vais à la salle de bain.,fr,49,translated:en,i m going to go to the bathroom
je ne sais pas si j' aurais dû utiliser le,Je ne sais pas si j' aurais dû utiliser le,fr,47,translated:en,i m not sure if i should have used the
mon dieu !,Mon Dieu !,fr,47,translated:en,oh god
bienvenue au,Bienvenue au,fr,47,translated:en,welcome to the
je t'aime,Je t'aime,fr,43,translated:en,i love you
je ne vais pas le faire.,Je ne vais pas le faire.,fr,43,translated:en,i m not going to do that
je ne sais pas si j' aurais dû utiliser le bouclier mais je ne sais pas si j' aurais dû utiliser le bouclier,Je ne sais pas si j' aurais dû utiliser le bouclier mais je ne sais pas si j' aurais dû utiliser le bouclier,fr,43,translated:en,i m not sure if i should have used the shield but i m not sure if i should have used the shield
transcription par cette traduction par,transcription par cette traduction par,fr,43,translated:en,transcription by eso translation by
sous-titres fermés fournis par muhsen,sous-titres fermés fournis par muhsen,fr,41,translated:en,closed captioning provided by muhsen
je vais y aller.,Je vais y aller.,fr,41,translated:en,i m going to go
je ne sais pas ce que c' était.,Je ne sais pas ce que c' était.,fr,41,translated:en,i m not sure what the hell that was
oh mon dieu !,Oh mon Dieu !,fr,41,translated:en,oh man
ça y est !,Ça y est !,fr,41,translated:en,there you go
une ba,une ba,fr,39,translated:en,baa a
"bonjour tout le monde, bienvenue sur ma chaîne.","Bonjour tout le monde, bienvenue sur ma chaîne.",fr,39,translated:en,hello everyone welcome to my channel
bonjour les amis,Bonjour les amis,fr,37,translated:en,hello friends
je vous en prie.,Je vous en prie.,fr,37,translated:en,mm hmm
je vais t'attraper.,Je vais t'attraper.,fr,35,translated:en,i m going to get you
je vais en chercher plus .,Je vais en chercher plus .,fr,35,translated:en,i m going to go get some more
je vais aller de l'autre côté,Je vais aller de l'autre côté,fr,35,translated:en,i m going to go to the other side
je ne sais pas si vous pouvez voir ça mais je ne suis pas sûr,Je ne sais pas si vous pouvez voir ça mais je ne suis pas sûr,fr,35,translated:en,i m not sure if you can see this but i m not sure
mon dieu !,Mon Dieu !,fr,35,translated:en,oh my gosh
l'église de saint paul,l'église de saint Paul,fr,35,translated:en,st paul s church
la station est une,la station est une,fr,35,translated:en,the station is a
je vais aller chercher mon sac.,Je vais aller chercher mon sac.,fr,33,translated:en,i m going to go ahead and get my bag
c' est ça !,C' est ça !,fr,33,translated:en,that s it
je ne sais pas si je devrais le faire mais je ne suis pas sûr,Je ne sais pas si je devrais le faire mais je ne suis pas sûr,fr,31,translated:en,i m not sure if i should do this but i m not sure
je ne sais pas si j' aurais dû utiliser le flashbang,Je ne sais pas si j' aurais dû utiliser le flashbang,fr,31,translated:en,i m not sure if i should have used the flashbang
r vous,R vous,fr,31,translated:en,rr you
le jeu est basé sur le jeu d'origine mais le jeu est basé sur le jeu d'origine,Le jeu est basé sur le jeu d'origine mais le jeu est basé sur le jeu d'origine,fr,31,translated:en,the game is based on the original game but the game is based on the original game
je vais aller de l'avant et obtenir le,Je vais aller de l'avant et obtenir le,fr,29,translated:en,i m going to go ahead and get the
tanya cushman réviseur s,Tanya Cushman réviseur s,fr,29,translated:en,tanya cushman reviewer s
bon travail,bon travail,fr,27,translated:en,good job
je vais chercher mon chien.,Je vais chercher mon chien.,fr,27,translated:en,i m going to go get my dog
je vais utiliser un,Je vais utiliser un,fr,27,translated:en,i m going to use a
bienvenue dans la ville de new york .,Bienvenue dans la ville de New York .,fr,27,translated:en,welcome to the new york city of new york
la cour ouest,la cour ouest,fr,27,translated:en,west yard
tu fais quoi ?,Tu fais quoi ?,fr,27,translated:en,what are you doing
une aah,une aah,fr,25,translated:en,a aah
des cloches qui sonnent,des cloches qui sonnent,fr,25,translated:en,bells chiming
je sais.,Je sais.,fr,25,translated:en,i know
je vais aller de l'avant et démarrer le moteur,Je vais aller de l'avant et démarrer le moteur,fr,25,translated:en,i m going to go ahead and start the engine
je vais passer à la prochaine .,Je vais passer à la prochaine .,fr,25,translated:en,i m going to go to the next one
bien mélanger,bien mélanger,fr,25,translated:en,mix well
le vous,le vous,fr,25,translated:en,the you
vous ?,Vous ?,fr,25,translated:en,uh you
ville ouest,ville ouest,fr,25,translated:en,west ville
qui oo,qui oo,fr,25,translated:en,who oo
bon garçon,bon garçon,fr,23,translated:en,good boy
je vais aller de l'avant et le faire,Je vais aller de l'avant et le faire,fr,23,translated:en,i m going to go ahead and do it
je vais faire un trou dans le fond de la,Je vais faire un trou dans le fond de la,fr,23,translated:en,i m going to make a hole in the bottom of the
je vais faire une pause rapide et ensuite retourner au,Je vais faire une pause rapide et ensuite retourner au,fr,23,translated:en,i m going to take a quick break and then head back to the
je ne sais pas si je peux obtenir l' arme,Je ne sais pas si je peux obtenir l' arme,fr,23,translated:en,i m not sure if i can get the gun
sourate al-fatihah,Sourate al-Fatihah,fr,23,translated:en,surah al fatihah
c' est une,C' est une,fr,23,translated:en,waa a
ça va ?,Ça va ?,fr,21,translated:en,hoo oo
je ne peux pas,Je ne peux pas,fr,21,translated:en,i can t
je ne vous laisserai pas partir.,Je ne vous laisserai pas partir.,fr,21,translated:en,i m not going to let you go
je suis tellement excité.,Je suis tellement excité.,fr,21,translated:en,i m so excited
laissez-moi voir,Laissez-moi voir,fr,21,translated:en,let s see
je vous en prie !,Je vous en prie !,fr,21,translated:en,oh ho
je vous remercie beaucoup.,Je vous remercie beaucoup.,fr,21,translated:en,thank you very much
le jeu est basé sur le jeu d'origine mais ce n'est pas le jeu d'origine,Le jeu est basé sur le jeu d'origine mais ce n'est pas le jeu d'origine,fr,21,translated:en,the game is based on the original game but it s not the original game
je suis un,Je suis un,fr,20,translated:en,i m a
le buzz z,le buzz z,fr,19,translated:en,buzz z
bonjour les gars,Bonjour les gars,fr,19,translated:en,hi guys
c' est une merde !,C' est une merde !,fr,19,translated:en,holy shit
je vais devoir recommencer .,Je vais devoir recommencer .,fr,19,translated:en,i m going to have to do this again
je vais faire un peu,Je vais faire un peu,fr,19,translated:en,i m going to make a little
je vais essayer d'avoir une meilleure vue de l'eau,Je vais essayer d'avoir une meilleure vue de l'eau,fr,19,translated:en,i m going to try to get a better view of the water
je vais essayer de m' en débarrasser.,Je vais essayer de m' en débarrasser.,fr,19,translated:en,i m going to try to get it out of the way
je vais essayer de sortir d'ici.,Je vais essayer de sortir d'ici.,fr,19,translated:en,i m going to try to get out of here
je ne sais pas si c' est le bon mot mais je ne sais pas si c' est le bon mot,Je ne sais pas si c' est le bon mot mais je ne sais pas si c' est le bon mot,fr,19,translated:en,i m not sure if that s the right word but i m not sure if that s the right word
je ne sais pas si c'est la meilleure façon de le faire mais je ne sais pas si c'est la meilleure façon de le faire,Je ne sais pas si c'est la meilleure façon de le faire mais je ne sais pas si c'est la meilleure façon de le faire,fr,19,translated:en,i m not sure if this is the best way to do it but i m not sure if it s the best way to do it
les cloches de jingle,les cloches de jingle,fr,19,translated:en,jingle bells
mon dieu !,Mon Dieu !,fr,19,translated:en,oh my goodness
éclaboussures de sirène,éclaboussures de sirène,fr,19,translated:en,siren blares
le train se déplace maintenant vers la gare.,Le train se déplace maintenant vers la gare.,fr,19,translated:en,the train is now moving towards the station
pont de westminster,pont de westminster,fr,19,translated:en,westminster bridge
merci de m'avoir regardé.,Merci de m'avoir regardé.,fr,17,translated:en,a thank you for watching
fin d'abeille,fin d'abeille,fr,17,translated:en,bee end
hmmm mm,Hmmm mm,fr,17,translated:en,hmm mm
je ne sais pas quoi faire,Je ne sais pas quoi faire,fr,17,translated:en,i don t know what to do
je l'ai compris.,Je l'ai compris.,fr,17,translated:en,i got it
je vais boire un verre d'eau,Je vais boire un verre d'eau,fr,17,translated:en,i m going to drink a glass of water
je suis à la maison,Je suis à la maison,fr,17,translated:en,i m home
je ne suis pas,Je ne suis pas,fr,17,translated:en,i m not
je ne suis pas sûr,Je ne suis pas sûr,fr,17,translated:en,i m not sure
je ne sais pas si c'est la meilleure façon de le faire mais je ne sais pas si c'est la meilleure façon,Je ne sais pas si c'est la meilleure façon de le faire mais je ne sais pas si c'est la meilleure façon,fr,17,translated:en,i m not sure if this is the best way to do it but i m not sure if this is the best way
je ne sais pas si c'est la bonne façon de le faire mais je ne sais pas si c'est la bonne façon,Je ne sais pas si c'est la bonne façon de le faire mais je ne sais pas si c'est la bonne façon,fr,17,translated:en,i m not sure if this is the right way to do it but i m not sure if this is the right way
je vous en prie .,Je vous en prie .,fr,17,translated:en,shh you
je t'aime,Je t'aime,fr,17,translated:en,ss you
transcrit par eso traduit par,Transcrit par eso traduit par,fr,17,translated:en,transcribed by eso translated by
je vous en prie .,Je vous en prie .,fr,17,translated:en,uh huh
bienvenue dans la ville de new york .,Bienvenue dans la ville de New York .,fr,17,translated:en,welcome to the new york city of new york city
qu'est-ce qui se passe ?,Qu'est-ce qui se passe ?,fr,17,translated:en,what s up
et le,et le,fr,16,translated:en,and the
sous-titres par nicosubs,sous-titres par nicosubs,fr,15,translated:en,captions by nicosubs
viens ici !,Viens ici !,fr,15,translated:en,come here
une fin,Une fin,fr,15,translated:en,ee end
les ventilateurs rugissent,les ventilateurs rugissent,fr,15,translated:en,fans roar
feu dans le trou,feu dans le trou,fr,15,translated:en,fire in the hole
une bonne fille,Une bonne fille,fr,15,translated:en,good girl
je l'ai pris .,Je l'ai pris .,fr,15,translated:en,got him
je vais aller de l'avant et commencer l'enregistrement,Je vais aller de l'avant et commencer l'enregistrement,fr,15,translated:en,i m going to go ahead and start the recording
je vais faire un trou au fond du trou,Je vais faire un trou au fond du trou,fr,15,translated:en,i m going to make a hole in the bottom of the hole
je vais faire une sauce,Je vais faire une sauce,fr,15,translated:en,i m going to make a sauce
je vais essayer de le manger avec mes mains,Je vais essayer de le manger avec mes mains,fr,15,translated:en,i m going to try to eat it with my hands
je ne suis pas un robot.,Je ne suis pas un robot.,fr,15,translated:en,i m not a robot
je ne vais pas le faire à nouveau.,Je ne vais pas le faire à nouveau.,fr,15,translated:en,i m not going to do it again
je ne sais pas si je peux obtenir la clé de la poitrine,Je ne sais pas si je peux obtenir la clé de la poitrine,fr,15,translated:en,i m not sure if i can get the key to the chest
je ne sais pas si je le fais bien ou pas,Je ne sais pas si je le fais bien ou pas,fr,15,translated:en,i m not sure if i m doing it right or not
je ne sais pas si je vais pouvoir le faire,Je ne sais pas si je vais pouvoir le faire,fr,15,translated:en,i m not sure if i m going to be able to do it
je ne sais pas si c'est la meilleure façon de le faire mais je ne sais pas si c'est la meilleure façon de le faire,Je ne sais pas si c'est la meilleure façon de le faire mais je ne sais pas si c'est la meilleure façon de le faire,fr,15,translated:en,i m not sure if this is the best way to do it but i m not sure if this is the best way to do it
je ne suis pas sûr si vous pouvez voir le point rouge sur l'écran,Je ne suis pas sûr si vous pouvez voir le point rouge sur l'écran,fr,15,translated:en,i m not sure if you can see the red dot on the screen
je ne sais pas ce que je fais,Je ne sais pas ce que je fais,fr,15,translated:en,i m not sure what i m doing
je ne sais pas ce que je fais ici je vais juste continuer,Je ne sais pas ce que je fais ici Je vais juste continuer,fr,15,translated:en,i m not sure what i m doing here i m just going to keep going
je ne sais pas ce que c' est.,Je ne sais pas ce que c' est.,fr,15,translated:en,i m not sure what that is
"je ne sais pas pourquoi je fais ça, mais je ne sais pas.","Je ne sais pas pourquoi je fais ça, mais je ne sais pas.",fr,15,translated:en,i m not sure why i m doing this but i m not sure
je suis désolée.,Je suis désolée.,fr,15,translated:en,i m so sorry
regardez ça !,Regardez ça !,fr,15,translated:en,look at that
je vous en prie.,Je vous en prie.,fr,15,translated:en,oo ooh
on se voit la prochaine fois .,On se voit la prochaine fois .,fr,15,translated:en,we ll see you next time
bienvenue sur ma chaîne.,Bienvenue sur ma chaîne.,fr,15,translated:en,welcome to my channel
c' est quoi cette merde ?,C' est quoi cette merde ?,fr,15,translated:en,what the fuck
un deux trois,Un deux trois,fr,14,translated:en,one two three
je t'aime beaucoup .,Je t'aime beaucoup .,fr,13,translated:en,a aah you
à l'heure actuelle,à l'heure actuelle,fr,13,translated:en,arr rr
la jungle audio,la jungle audio,fr,13,translated:en,audio jungle
prenez-le !,Prenez-le !,fr,13,translated:en,get him
une bonne nuit.,Une bonne nuit.,fr,13,translated:en,good night
- je ne sais pas .,- Je ne sais pas .,fr,13,translated:en,haa a
bonjour les gars !,Bonjour les gars !,fr,13,translated:en,hey guys
"bonjour les gars, bienvenue sur ma chaîne.","Bonjour les gars, bienvenue sur ma chaîne.",fr,13,translated:en,hi guys welcome back to my channel
je suis un homme,Je suis un homme,fr,13,translated:en,i m a man
je vais aller de l'avant et l'éteindre,Je vais aller de l'avant et l'éteindre,fr,13,translated:en,i m going to go ahead and turn it off
je vais à la plage,Je vais à la plage,fr,13,translated:en,i m going to go to the beach
je vais aller à droite,Je vais aller à droite,fr,13,translated:en,i m going to go to the right
je vais creuser un trou dans le fond du pot,Je vais creuser un trou dans le fond du pot,fr,13,translated:en,i m going to make a hole in the bottom of the pot
je vais construire une nouvelle maison.,Je vais construire une nouvelle maison.,fr,13,translated:en,i m going to make a new house
je vais en faire une nouvelle .,Je vais en faire une nouvelle .,fr,13,translated:en,i m going to make a new one
je vais prendre une photo du,Je vais prendre une photo du,fr,13,translated:en,i m going to take a picture of the
je vais essayer de l'obtenir,Je vais essayer de l'obtenir,fr,13,translated:en,i m going to try to get it
je ne suis pas un monstre.,Je ne suis pas un monstre.,fr,13,translated:en,i m not a monster
je ne sais pas si je peux obtenir la capture,Je ne sais pas si je peux obtenir la capture,fr,13,translated:en,i m not sure if i can get the headshot
je ne sais pas si je peux obtenir l' épée,Je ne sais pas si je peux obtenir l' épée,fr,13,translated:en,i m not sure if i can get the sword
je ne sais pas quoi faire,Je ne sais pas quoi faire,fr,13,translated:en,i m not sure what to do
je vous en prie .,Je vous en prie .,fr,13,translated:en,oh hey
à la maison,à la maison,fr,13,translated:en,ta da
tanya cushman réviseur,Tanya Cushman réviseur,fr,13,translated:en,tanya cushman reviewer
c' est bon.,C' est bon.,fr,13,translated:en,that s good
la ville est une ville de,la ville est une ville de,fr,13,translated:en,the city is a city of
la ville de londres,la ville de Londres,fr,13,translated:en,the city of london
la ville de san francisco,la ville de San Francisco,fr,13,translated:en,the city of san francisco
le premier patron est un patron très important . c' est un patron très important .,Le premier patron est un patron très important . C' est un patron très important .,fr,13,translated:en,the first boss is a very important boss it s a very important boss
"la première étape est un peu plus difficile, mais ce n'est pas si mal.","La première étape est un peu plus difficile, mais ce n'est pas si mal.",fr,13,translated:en,the first stage is a bit more difficult but it s not too bad
je vous en prie .,Je vous en prie .,fr,13,translated:en,uh oh
moitas grazas.,Moitas grazas.,gl,31353,translated:en,thank you
grazas por ver.,Grazas por ver.,gl,25053,translated:en,thanks for watching
grazas por ver.,Grazas por ver.,gl,6264,translated:en,thank you for watching
non sei o que estou a facer aquí.,Non sei o que estou a facer aquí.,gl,1317,translated:en,i m not sure what i m doing here
subtítulos da comunidade amara org,Subtítulos da comunidade amara org,gl,1122,translated:en,subtitles by the amara org community
sinto moito.,Sinto moito.,gl,940,translated:en,i m sorry
oh meu deus,Oh meu Deus,gl,837,translated:en,oh my god
está ben.,Está ben.,gl,402,translated:en,all right
non sei.,Non sei.,gl,311,translated:en,i don t know
oh merda,Oh merda,gl,237,translated:en,oh shit
non sei se podo facer isto.,Non sei se podo facer isto.,gl,227,translated:en,i m not sure if i can do this
calle gerrard,Calle Gerrard,gl,203,translated:en,gerrard street
"non sei se debería estar facendo isto, pero","Non sei se debería estar facendo isto, pero",gl,199,translated:en,i m not sure if i should be doing this but
non sei que facer con isto.,Non sei que facer con isto.,gl,171,translated:en,i m not sure what to do with this
anillos de campana,Anillos de campana,gl,155,translated:en,bell rings
non vou deixar que te escapes con isto.,Non vou deixar que te escapes con isto.,gl,153,translated:en,i m not going to let you get away with this
"oh, eu vexo.","Oh, eu vexo.",gl,143,translated:en,oh i see
transcrición emily beynon,transcrición emily beynon,gl,133,translated:en,transcript emily beynon
estou fóra.,Estou fóra.,gl,132,translated:en,i m out
non sei por que estou facendo isto.,Non sei por que estou facendo isto.,gl,129,translated:en,i m not sure why i m doing this
grrrr,grrrr,gl,123,translated:en,grr rr
vou facer un,Vou facer un,gl,119,translated:en,i m going to make a
"ven, ven!","Ven, ven!",gl,113,translated:en,come on
non sei se podo conseguir o,Non sei se podo conseguir o,gl,109,translated:en,i m not sure if i can get the
vou seguir e facer iso,Vou seguir e facer iso,gl,107,translated:en,i m going to go ahead and do that
non sei se debería ter usado o escudo.,Non sei se debería ter usado o escudo.,gl,107,translated:en,i m not sure if i should have used the shield
o tren está agora a moverse cara á estación central.,O tren está agora a moverse cara á estación central.,gl,107,translated:en,the train is now moving towards the central station
ahí vai.,Ahí vai.,gl,103,translated:en,there we go
unha avaa,unha avaa,gl,89,translated:en,a avaa
"non sei se o podes ver, pero non sei.","Non sei se o podes ver, pero non sei.",gl,89,translated:en,i m not sure if you can see it but i m not sure
deixa-nos ir.,Deixa-nos ir.,gl,89,translated:en,let s go
"oh, si.","Oh, si.",gl,89,translated:en,oh yeah
non sei que facer con este home.,Non sei que facer con este home.,gl,87,translated:en,i m not sure what to do with this guy
vou buscar comida.,Vou buscar comida.,gl,81,translated:en,i m going to go get some food
non sei que facer aquí.,Non sei que facer aquí.,gl,81,translated:en,i m not sure what to do here
non sei se podo facelo.,Non sei se podo facelo.,gl,79,translated:en,i m not sure if i can do it
o final,o final,gl,78,translated:en,the end
paxaros chillando,Paxaros chillando,gl,75,translated:en,birds chirp
subtítulos pechados proporcionados pola rede de noticias imperial,subtítulos pechados proporcionados pola rede de noticias imperial,gl,75,translated:en,closed captioning provided by the imperial news network
vou a cama.,Vou a cama.,gl,75,translated:en,i m going to go to bed
vou buscar auga.,Vou buscar auga.,gl,67,translated:en,i m going to go get some water
subtítulos: steamteamextra,Subtítulos: steamteamextra,gl,67,translated:en,subtitles by steamteamextra
"oh, non.","Oh, non.",gl,66,translated:en,oh no
eu non vou facelo.,Eu non vou facelo.,gl,65,translated:en,i m not going to do it
ola e benvidos a outro episodio do,Ola e benvidos a outro episodio do,gl,63,translated:en,hello and welcome to another episode of the
"no, no, no","No, no, no",gl,63,translated:en,noo oo
eu vou tentar obter o,Eu vou tentar obter o,gl,61,translated:en,i m going to try to get the
"ah, vós","Ah, vós",gl,59,translated:en,ah you
ola a todos.,Ola a todos.,gl,59,translated:en,hello everyone
non sei o que significa iso.,Non sei o que significa iso.,gl,59,translated:en,i m not sure what that means
"oh, porra!","Oh, porra!",gl,55,translated:en,oh fuck
volveremos logo.,Volveremos logo.,gl,55,translated:en,we ll be right back
aquí vamos.,Aquí vamos.,gl,53,translated:en,here we go
non sei se podo superar isto.,Non sei se podo superar isto.,gl,53,translated:en,i m not sure if i can get through this
benvidos a outro episodio do,Benvidos a outro episodio do,gl,53,translated:en,welcome to another episode of the
vou facelo de novo.,Vou facelo de novo.,gl,51,translated:en,i m going to do it again
así que ata a próxima vez adiós por agora,Así que ata a próxima vez adiós por agora,gl,51,translated:en,so until next time bye for now
"ooh, ooh","Ooh, ooh",gl,51,translated:en,woo oo
vou ao baño.,Vou ao baño.,gl,49,translated:en,i m going to go to the bathroom
eu non estou seguro se eu debería ter usado o,Eu non estou seguro se eu debería ter usado o,gl,47,translated:en,i m not sure if i should have used the
oh deus,Oh Deus,gl,47,translated:en,oh god
benvidos ao,Benvidos ao,gl,47,translated:en,welcome to the
te amo.,Te amo.,gl,43,translated:en,i love you
non vou facer iso.,Non vou facer iso.,gl,43,translated:en,i m not going to do that
"non sei se debería ter usado o escudo, pero non sei se debería ter usado o escudo.","Non sei se debería ter usado o escudo, pero non sei se debería ter usado o escudo.",gl,43,translated:en,i m not sure if i should have used the shield but i m not sure if i should have used the shield
transcrición por eso traducción por,transcrición por eso traducción por,gl,43,translated:en,transcription by eso translation by
subtítulos pechados proporcionados por muhsen,subtítulos pechados proporcionados por Muhsen,gl,41,translated:en,closed captioning provided by muhsen
eu vou ir.,Eu vou ir.,gl,41,translated:en,i m going to go
non sei que raio foi iso.,Non sei que raio foi iso.,gl,41,translated:en,i m not sure what the hell that was
o meu home,O meu home,gl,41,translated:en,oh man
ahí vai.,Ahí vai.,gl,41,translated:en,there you go
ba a,ba a,gl,39,translated:en,baa a
ola a todos benvidos ao meu canal.,Ola a todos benvidos ao meu canal.,gl,39,translated:en,hello everyone welcome to my channel
ola amigos,Ola amigos,gl,37,translated:en,hello friends
vou buscarte.,Vou buscarte.,gl,35,translated:en,i m going to get you
vou buscar máis.,Vou buscar máis.,gl,35,translated:en,i m going to go get some more
vou para o outro lado.,Vou para o outro lado.,gl,35,translated:en,i m going to go to the other side
"non sei se podes ver isto, pero non sei.","Non sei se podes ver isto, pero non sei.",gl,35,translated:en,i m not sure if you can see this but i m not sure
oh meu deus,Oh meu Deus,gl,35,translated:en,oh my gosh
igrexa de san pablo,Igrexa de San Pablo,gl,35,translated:en,st paul s church
a estación é un,a estación é un,gl,35,translated:en,the station is a
vou buscar a miña mochila.,Vou buscar a miña mochila.,gl,33,translated:en,i m going to go ahead and get my bag
isto é todo.,Isto é todo.,gl,33,translated:en,that s it
"non sei se debo facer isto, pero non estou seguro.","Non sei se debo facer isto, pero non estou seguro.",gl,31,translated:en,i m not sure if i should do this but i m not sure
non sei se debería ter usado o flashbang.,Non sei se debería ter usado o flashbang.,gl,31,translated:en,i m not sure if i should have used the flashbang
rr a ti,RR a ti,gl,31,translated:en,rr you
"o xogo está baseado no xogo orixinal, pero o xogo está baseado no xogo orixinal.","O xogo está baseado no xogo orixinal, pero o xogo está baseado no xogo orixinal.",gl,31,translated:en,the game is based on the original game but the game is based on the original game
eu vou seguir e conseguir o,Eu vou seguir e conseguir o,gl,29,translated:en,i m going to go ahead and get the
tanya cushman revisor s,Tanya Cushman revisor s,gl,29,translated:en,tanya cushman reviewer s
un bo traballo,un bo traballo,gl,27,translated:en,good job
vou buscar o meu can.,Vou buscar o meu can.,gl,27,translated:en,i m going to go get my dog
eu vou usar un,Eu vou usar un,gl,27,translated:en,i m going to use a
"benvido á cidade de nova york , nova york .","Benvido á cidade de Nova York , Nova York .",gl,27,translated:en,welcome to the new york city of new york
que estás a facer?,Que estás a facer?,gl,27,translated:en,what are you doing
