phrase_norm,phrase,lang,count,source,arms,n_models
takk for ating med.,Takk for ating med.,da,2,mined:v3,nonspeech,1
車内の音声,車内の音声,ja,2,mined:turbo|v3,nonspeech,2
hello!,Hello!,en,2,mined:turbo|v3,nonspeech,2
i love you all!,I love you all!,ro,2,mined:v3,nonspeech,1
ah.,Ah.,en,2,mined:turbo|v3,nonspeech,2
e aí,E aí,is,2,mined:turbo,music|nonspeech,1
i'm going to go to the next video.,I'm going to go to the next video.,en,2,mined:turbo,nonspeech,1
what does the name mean?,What does the name mean?,en,2,mined:turbo,nonspeech,1
það er hann.,Það er hann.,is,2,mined:turbo,nonspeech,1
музыкальная заставка,МУЗЫКАЛЬНАЯ ЗАСТАВКА,ru,2,mined:turbo,nonspeech,1
다음 영상에서 만나요!,다음 영상에서 만나요!,ko,2,mined:turbo,nonspeech,1
水を入れて混ぜます。,水を入れて混ぜます。,ja,2,mined:turbo,nonspeech,1
너무 맛있다,너무 맛있다,ko,2,mined:turbo,nonspeech,1
